source,year,heroic_total,nuisance_total,culinary_total,sport_total,hunting_total,mean_net_tone,n_articles,heroic_rate,nuisance_rate,culinary_rate,sport_rate,hunting_rate,signed_tone_rate,total_loaded,positivity_ratio
NYT,1933,14.5625,1.75,0.0,3.875,3.875,0.0213903743315508,187,0.07787433155080214,0.009358288770053475,0.0,0.02072192513368984,0.02072192513368984,0.06851604278074867,16.3125,0.89272030651341
NYT,1934,32.125,0.0,3.5,26.4375,3.5,0.0425531914893617,141,0.22783687943262412,0.0,0.024822695035460994,0.1875,0.024822695035460994,0.22783687943262412,32.125,1.0
NYT,1935,91.25,6.0625,5.25,46.4375,10.375,0.1,170,0.5367647058823529,0.03566176470588235,0.030882352941176472,0.2731617647058823,0.06102941176470588,0.5011029411764706,97.3125,0.9377007064868337
NYT,1936,63.4375,1.625,0.9375,12.1875,2.3125,0.05389221556886228,167,0.37986526946107785,0.009730538922155689,0.00561377245508982,0.07297904191616766,0.013847305389221557,0.37013473053892215,65.0625,0.9750240153698367
NYT,1937,57.3125,6.9375,0.0,15.9375,16.6875,0.06918238993710692,159,0.3604559748427673,0.04363207547169811,0.0,0.10023584905660378,0.10495283018867925,0.3168238993710692,64.25,0.892023346303502
NYT,1938,52.1875,4.3125,0.0,17.125,4.0625,0.08074534161490683,161,0.32414596273291924,0.026785714285714284,0.0,0.1063664596273292,0.025232919254658384,0.29736024844720493,56.5,0.9236725663716814
NYT,1939,35.5625,8.5,1.0625,15.5,9.625,0.053475935828877004,187,0.19017379679144386,0.045454545454545456,0.005681818181818182,0.08288770053475936,0.051470588235294115,0.1447192513368984,44.0625,0.8070921985815603
NYT,1940,25.5625,0.0,3.5,28.0,2.3125,0.08280254777070063,157,0.16281847133757962,0.0,0.022292993630573247,0.17834394904458598,0.014729299363057325,0.16281847133757962,25.5625,1.0
NYT,1941,105.125,6.4375,0.0,19.125,2.625,0.1165644171779141,163,0.6449386503067485,0.03949386503067485,0.0,0.11733128834355828,0.016104294478527608,0.6054447852760736,111.5625,0.942296918767507
NYT,1942,30.125,0.0,0.875,13.6875,10.4375,0.09243697478991597,119,0.25315126050420167,0.0,0.007352941176470588,0.11502100840336134,0.08771008403361344,0.25315126050420167,30.125,1.0
NYT,1943,53.5,3.375,1.4375,9.0,0.0,0.14285714285714285,77,0.6948051948051948,0.04383116883116883,0.018668831168831168,0.11688311688311688,0.0,0.650974025974026,56.875,0.9406593406593406
NYT,1944,22.25,9.0625,5.6875,7.5,14.375,-0.011764705882352941,85,0.26176470588235295,0.10661764705882353,0.06691176470588235,0.08823529411764706,0.16911764705882354,0.15514705882352942,31.3125,0.7105788423153693
NYT,1945,17.8125,2.3125,0.0,4.6875,7.0625,0.07058823529411765,85,0.20955882352941177,0.027205882352941177,0.0,0.05514705882352941,0.08308823529411764,0.1823529411764706,20.125,0.8850931677018633
NYT,1946,26.1875,0.75,2.375,5.25,0.0,0.037037037037037035,108,0.24247685185185186,0.006944444444444444,0.02199074074074074,0.04861111111111111,0.0,0.2355324074074074,26.9375,0.9721577726218097
NYT,1947,26.9375,1.375,0.0,3.0625,0.0,0.03333333333333333,120,0.22447916666666667,0.011458333333333333,0.0,0.025520833333333333,0.0,0.21302083333333335,28.3125,0.9514348785871964
NYT,1948,16.3125,0.0,0.0,1.375,4.0625,0.056910569105691054,123,0.1326219512195122,0.0,0.0,0.011178861788617886,0.033028455284552845,0.1326219512195122,16.3125,1.0
NYT,1949,34.5625,0.0,0.875,5.0625,1.9375,0.05343511450381679,131,0.26383587786259544,0.0,0.006679389312977099,0.03864503816793893,0.014790076335877863,0.26383587786259544,34.5625,1.0
NYT,1950,19.0,0.8125,0.0,15.25,0.125,0.04672897196261682,107,0.17757009345794392,0.007593457943925234,0.0,0.1425233644859813,0.0011682242990654205,0.16997663551401868,19.8125,0.9589905362776026
NYT,1951,2.0,4.375,0.0,12.375,3.6875,0.0,145,0.013793103448275862,0.03017241379310345,0.0,0.0853448275862069,0.02543103448275862,-0.016379310344827588,6.375,0.3137254901960784
NYT,1952,1.875,0.6875,3.5,1.625,0.0,0.007936507936507936,126,0.01488095238095238,0.005456349206349206,0.027777777777777776,0.012896825396825396,0.0,0.009424603174603174,2.5625,0.7317073170731707
NYT,1953,19.0,0.625,5.5625,5.375,5.6875,0.05128205128205128,156,0.12179487179487179,0.004006410256410256,0.03565705128205128,0.03445512820512821,0.036458333333333336,0.11778846153846154,19.625,0.9681528662420382
NYT,1954,10.625,1.375,0.0,10.3125,0.0,0.023622047244094488,127,0.08366141732283465,0.010826771653543307,0.0,0.0812007874015748,0.0,0.07283464566929135,12.0,0.8854166666666666
NYT,1955,1.0,0.0,0.6875,2.1875,8.6875,0.01680672268907563,119,0.008403361344537815,0.0,0.005777310924369748,0.01838235294117647,0.07300420168067227,0.008403361344537815,1.0,1.0
NYT,1956,11.6875,1.375,0.0,3.125,8.4375,0.022388059701492536,134,0.08722014925373134,0.010261194029850746,0.0,0.02332089552238806,0.06296641791044776,0.07695895522388059,13.0625,0.8947368421052632
NYT,1957,18.4375,2.375,1.6875,16.375,0.8125,0.020689655172413793,145,0.1271551724137931,0.016379310344827588,0.01163793103448276,0.11293103448275862,0.005603448275862069,0.1107758620689655,20.8125,0.8858858858858859
NYT,1958,3.625,0.0,0.0,0.0,4.0,0.01680672268907563,119,0.03046218487394958,0.0,0.0,0.0,0.03361344537815126,0.03046218487394958,3.625,1.0
NYT,1959,6.5,0.5,8.0625,2.1875,2.0,0.01818181818181818,110,0.05909090909090909,0.004545454545454545,0.07329545454545454,0.019886363636363636,0.01818181818181818,0.05454545454545454,7.0,0.9285714285714286
